9, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
10, Muralha da China, Alvo, 0, 29.97276, 12.26316
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
13, Pedregulho, Alvo, 0.7, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
15, Pedregulho, Alvo, 0, 25.16842, 8.565217
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.99, 13.51252, 7.45
3, Árvore solitária, Alvo, 0.7, 13.51252, 9.692307
4, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.99, 29.51252, 6.262626
8, Muralha da China, Alvo, 0.7, 29.51252, 8.150537
9, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
10, Muralha da China, Alvo, 0, 29.97276, 12.26316
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.99, 25.16842, 8.542857
13, Pedregulho, Alvo, 0.7, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
15, Pedregulho, Alvo, 0, 25.16842, 8.565217
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
3, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
4, Árvore solitária, Alvo, 0.1, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
8, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
9, Muralha da China, Alvo, 0.1, 29.97276, 12.38597
10, Muralha da China, Alvo, 0, 29.97276, 12.26316
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.5, 25.16842, 8.507246
13, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.1, 25.16842, 8.565217
15, Pedregulho, Alvo, 0, 25.16842, 8.565217
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.5, 13.54507, 9.686275
3, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
4, Árvore solitária, Alvo, 0.1, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0, 13.97276, 9.785714
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.5, 29.51252, 9.313253
8, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
9, Muralha da China, Alvo, 0.1, 29.97276, 12.38597
10, Muralha da China, Alvo, 0, 29.97276, 12.26316
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.4, 13.97276, 9.952381
3, Árvore solitária, Alvo, 0.35, 13.97276, 9.952381
4, Árvore solitária, Alvo, 0.3, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.4, 29.91326, 13.03448
8, Muralha da China, Alvo, 0.35, 29.97276, 12.38597
9, Muralha da China, Alvo, 0.3, 29.97276, 12.38597
10, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.4, 25.16842, 8.507246
13, Pedregulho, Alvo, 0.35, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.3, 25.16842, 8.507246
15, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.4, 13.97276, 9.952381
3, Árvore solitária, Alvo, 0.35, 13.97276, 9.952381
4, Árvore solitária, Alvo, 0.3, 13.97276, 9.952381
5, Árvore solitária, Alvo, 0.25, 13.97276, 9.952381
6, Muralha da China, Alvo, 1, 29.51252, 6.076555
7, Muralha da China, Alvo, 0.4, 29.91326, 13.03448
8, Muralha da China, Alvo, 0.35, 29.97276, 12.38597
9, Muralha da China, Alvo, 0.3, 29.97276, 12.38597
10, Muralha da China, Alvo, 0.25, 29.97276, 12.38597
11, Pedregulho, Alvo, 1, 25.16842, 8.507246
12, Pedregulho, Alvo, 0.4, 25.16842, 8.507246
13, Pedregulho, Alvo, 0.35, 25.16842, 8.507246
14, Pedregulho, Alvo, 0.3, 25.16842, 8.507246
15, Pedregulho, Alvo, 0.25, 25.16842, 8.507246
1, Árvore solitária, Alvo, 1, 13.51252, 6.909091
2, Árvore solitária, Alvo, 0.4, 13.97276, 9.952381
3, Árvore solitária, Alvo, 0.35, 13.97276, 9.952381
